nuire| [sound:nuire.mp3]| to harm, hinder
obliger| [sound:obliger.mp3]| to oblige
omettre| [sound:omettre.mp3]| to omit
oser| [sound:oser.mp3]| to dare
paraître| [sound:para%C3%AEtre.mp3]| to appear, seem
parcourir| [sound:parcourir.mp3]| to cover, travel up and down, go all over
partager| [sound:partager.mp3]| to divide up, share
participer| [sound:participer.mp3]| to participate, take part in, be involved in
patiner| [sound:patiner.mp3]| to skate
pécher| [sound:p%C3%A9cher.mp3]| to sin
pêcher| [sound:p%C3%AAcher.mp3]| to fish
se peigner| [sound:se+peigner.mp3]| to comb one's hair
peindre| [sound:peindre.mp3]| to paint, portray
peler| [sound:peler.mp3]| to peel
pendre| [sound:pendre.mp3]| to hang, suspend
pénétrer| [sound:p%C3%A9n%C3%A9trer.mp3]| to enter, penetrate
percevoir| [sound:percevoir.mp3]| to perceive, detect, feel
périr| [sound:p%C3%A9rir.mp3]| to perish, die
permettre| [sound:permettre.mp3]| to permit, allow, let
persuader| [sound:persuader.mp3]| to persuade, convince, induce
peser| [sound:peser.mp3]| to weigh
pianoter| [sound:pianoter.mp3]| to tap (like a piano), drum one's fingers
plaindre| [sound:plaindre.mp3]| to pity
plaire| [sound:plaire.mp3]| to please
plaisanter| [sound:plaisanter.mp3]| to joke (2)
planter| [sound:planter.mp3]| to plant, stick, dump
plier| [sound:plier.mp3]| to fold, bend
plonger| [sound:plonger.mp3]| to dive, swoop, plummet
pondre| [sound:pondre.mp3]| to lay (an egg)
poser| [sound:poser.mp3]| to lay, place, put, set, pose
posséder| [sound:poss%C3%A9der.mp3]| to possess, own, master
poursuivre| [sound:poursuivre.mp3]| to pursue, prosecute
pousser| [sound:pousser.mp3]| to push, grow
prédire| [sound:pr%C3%A9dire.mp3]| to predict, foretell
préparer| [sound:pr%C3%A9parer.mp3]| to prepare
prescrire| [sound:prescrire.mp3]| to prescribe, recommend
présenter| [sound:pr%C3%A9senter.mp3]| to present, introduce
pressentir| [sound:pressentir.mp3]| to sense, have a premonition
presser| [sound:presser.mp3]| to press, squeeze
prétendre| [sound:pr%C3%A9tendre.mp3]| to pretend, claim, maintain
prêter| [sound:pr%C3%AAter.mp3]| to lend
